voice_group_id,name,member_character_ids,gender,age_group,role,personality_traits,speakable_line_count,generation_status,review_reasons,voice_design_prompt
d23450400d26af5b,白锦,10131,male,young_adult,飞贼,风趣 | 自信 | 机敏,367,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位青年男性飞贼，声音清朗明亮，带一丝玩世不恭的江湖气。语速中等偏快，语气诙谐自信，咬字清晰利落，情绪底色轻松愉快，常带调侃意味。
33b6f884005d9e12,燕未还,12011,male,adult,恶人谷七凶之五,沉稳 | 重义,361,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性，声音沉稳，语速中等，咬字清晰，情绪沉稳，带有江湖侠客的义气感。
1c1d8d4efc061935,顾思归,19701 | 19969,male,young_adult,音律高手,文雅 | 聪慧 | 从容,357,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位青年男子，声音清朗温润，音调中等，语速适中，能量中等，咬字清晰流畅，情绪平和从容，带有文雅的书卷气。
8e8b15c624cb9ff2,欧阳衡,17100 | 6000,male,elderly,名剑山庄庄主,沉稳 | 谦和 | 老练,343,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林长者，声音低沉温厚，语速缓慢，咬字清晰稳重，语气平和谦和，有长者的宽厚感。
eef919dff7c097f1,莲芯,19714 | 6510,male,young_adult,童安亲信随从,诡谲 | 忠诚 | 复仇心,343,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻随从，声音清冷，语速中等，咬字干脆，常带咈咈咈的轻笑，语气中透露出诡谲和复仇的决心，性别特征不明显，可中性化处理。
d9bf35dd92cf7e49,江小彤,8500,female,young_adult,圣女,任性 | 倔强 | 依赖父亲,333,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清脆明亮，音调较高，语速较快，语气活泼任性，带有少女的娇憨，情绪起伏较大，在愤怒时声音会变得尖锐。
b25992321161d772,司马铃,11708,female,teen,青木舫嫡传弟子,天真无邪 | 活泼 | 好奇,323,ready,,确定人物设定：少年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清脆甜美，音调偏高，语速快，语气活泼，带撒娇和惊叹，体现天真无邪的少女形象。
b5aacea159ff565a,绝无心,6507,male,young_adult,六扇门捕快,沉稳 | 谨慎 | 关心同伴,301,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性，声音清朗，语速中等，咬字清晰，情绪底色稳重而关切，体现六扇门捕快的沉稳与责任感。
577110b19b6bf0a8,肖寒光,10024,male,young_adult,天剑宗少宗主,天资聪颖 | 专注剑道 | 冷静 | 孤高,291,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性剑客，声音清朗，音高适中，语速较慢，力度中等，咬字清晰文雅，情绪底色冷静孤高，带有世家子弟的从容。
9be407960f666c9c,童安,19713 | 6509 | 19751 | 19754,male,middle_aged,厂卫督主,邪气 | 自信 | 权谋,287,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性太监，声音阴柔但充满威严，音调偏高，语速中等，咬字清晰，带有笑里藏刀和权谋算计的感觉，说话时带点呵呵的轻笑，体现其邪气和深不可测。
9bb2cf72f4336b04,殷无矜,8000 | 17105,male,middle_aged,神鹰门掌门,冷酷 | 高傲 | 有谋略,273,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性，声音低沉，语速较慢，咬字清晰，情绪底色冷漠威严，体现神鹰门掌门的冷酷与高傲。
c06e6c1a914c9d50,荀杳杳,12010,female,young_adult,恶人谷七凶之六,诡异 | 阴柔,272,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位声音雌雄莫辨的角色，音调中等，语速缓慢，能量低，音色诡异，咬字清晰，情绪阴柔，带有神秘感。
ae948dc444ce4c34,叶飞,19112,male,middle_aged,前魔门天机宫开阳殿主,豪迈 | 深沉,262,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武林高手，声音磁性，语速中等，语气豪迈，带着江湖人的深沉与洒脱。
70fec0653d63a8c7,刘雄,6504 | 17102,male,elderly,六扇门总捕头,刚正不阿 | 有担当 | 重国仇家恨,237,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性，声音低沉浑厚，语速较慢，咬字清晰有力，情绪底色严肃深沉，带有武林前辈的威严与决绝，体现六扇门总捕头的刚正不阿。
0e9b18fada4e9bdd,江吟风,10016 | 10009,male,middle_aged,武当叛徒,沉稳 | 深藏不露 | 严厉,233,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武林高手，声音低沉浑厚，语速缓慢，说话平淡但带威严，有深藏不露的高手风范。
f78740de5c8d2692,圆觉,5500 | 5511,male,elderly,少林方丈,德高望重 | 沉稳 | 慈悲,231,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性少林方丈，声音苍老浑厚，语速缓慢，语气平和慈悲，咬字清晰稳重，情绪内敛，带有佛门高僧的德高望重感。
1cfd78948c6b3075,慕迟,19952,male,middle_aged,玉门慕家家主,狂士 | 富商,228,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性世家家主，声音低沉浑厚，语速沉稳，咬字清晰有力，情绪自信从容，带有狂士的洒脱与威严。
b870a7305855c2ca,白惟一,19700,male,young_adult,长生殿乘君,深不可测 | 超然,223,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位武林绝顶高手，声音清朗而富有磁性，音调中等，语速缓慢，能量中等，咬字清晰优雅，情绪平和深邃，带有超然物外的宗师气度。
66ce41531d84f3c5,左江龙,7500,male,middle_aged,丐帮帮主,正直 | 有责任感 | 谦逊,211,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性，声音浑厚，语速中等，咬字清晰，情绪底色诚恳而稳重，体现丐帮帮主的正直与谦逊。
b8eeb0749f8a62ce,圆悟,5501,male,middle_aged,少林戒律院首座,执法严明 | 正直,197,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性少林高僧，声音浑厚，语速适中，语气严肃，咬字清晰有力，情绪正直威严，带有执法者的严明感。
c35cd2b58f021a4c,陈麟熙,10221,male,middle_aged,武馆教头,武艺高强 | 自律 | 谦逊,169,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武馆教头，声音浑厚有力，语速适中，语气沉稳谦逊，措辞文雅，带有武者的风范。
edffff8a7bc3494f,玄离,9000 | 17111,male,middle_aged,玄火教教主,野心勃勃 | 威严 | 深沉,168,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武林教主，声音低沉浑厚，语速中等，语气威严，带有压迫感和深沉的气质，咬字清晰有力。
fde247b5c02f2f6b,无名,9500 | 9509,male,adult,恶人谷高手,狂妄 | 冷酷 | 强大,166,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位身份不明的恶人谷高手，声音低沉，语速中等，力度强，咬字清晰，情绪底色是狂妄冷酷，说话充满轻蔑和威胁，透出强大的压迫感。
777d79918fc83168,道微,5007,male,elderly,武当长老,欣赏强势,163,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年武当长老，性别不明，声音温厚，语速适中，咬字清晰，情绪平和，带有长老的沉稳和正式感。
33897d3ce1af6cd7,叶云,19950,male,young_adult,叶家军先锋官,暴躁 | 冲动 | 勇猛,155,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性武将，声音浑厚有力，语速较快，咬字干脆，情绪激昂冲动，带有沙场豪迈与急躁。
3959416e42ea5554,慕寒梅,19954,female,young_adult,慕家剑客,冷傲 | 机敏 | 有礼,155,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性剑客，声音清冷而略带磁性，语速中等，咬字清晰利落，情绪冷静有礼，带有剑客的锐利与世家风范。
0cba20842c47ccfb,程钰,16002 | 5037 | 9507 | 19902,male,young_adult,程家堡二当家之子,自卑 | 敏感 | 孝顺,148,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性，声音清亮但带着忧郁，语速较慢，语气低沉，有时显得怯懦，情感细腻，带有自卑和敏感。
781c095e9c95983a,元启,5008,male,young_adult,武当首徒,武艺高强 | 负责,145,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻的武当首徒，性别不明，声音清朗，语速适中，咬字清晰，情绪平和，带有温和和鼓励感。
e36768d5419b8df7,欧阳剑英,16020 | 6001,male,young_adult,名剑山庄少庄主,自信 | 护短 | 急躁,135,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性少庄主，声音清亮有力，语速快，语气直接，咬字清晰，情绪自信而急躁，带命令口吻。
c96b0e6ad56a5cab,卫霍,10047,male,young_adult,猎户,孤僻 | 寡言 | 重情义,126,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性猎户，声音低沉，语速缓慢，说话简短有力，情绪内敛但透出坚定和重情义，带有江湖人的沉稳。
a1e5a971c20d4c6c,萧无颜,19702,female,young_adult,长生殿副阁主,冷峻 | 坚定,126,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位女性，声音清冷，音调较低，语速缓慢，能量中等，咬字清晰有力，情绪冷峻坚定，带有上位者的威严。
a48c642928381aec,欧阳海,16012,male,young_adult,名剑山庄弟子,痴迷铸剑 | 专注 | 钻研,122,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性弟子，声音清亮，语速较快，充满热情和专注，咬字清晰，谈及铸剑时语气兴奋。
aded0a67cf9f5e21,段朝晨,19706,female,young_adult,长生殿死印令君,孤傲 | 寡言,119,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位武林人士，声音清冷，音调较低，语速极慢，能量较低，咬字清晰但话语简短，情绪冷漠疏离，带有孤傲的气质。
1330cb35fed5fe2e,汤统,12600,male,middle_aged,霹雳门掌门,谨慎 | 精明 | 有城府,119,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性掌门，声音低沉浑厚，语速较慢，咬字清晰稳重，情绪沉稳而内敛，透露出精明与城府。
6065cb56516378e2,法灭尽,19801 | 45751,male,middle_aged,天竺僧人,冷静 | 理性 | 执着 | 洞察,118,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性天竺僧人，声音清朗沉稳，语速中等，力度中等，咬字清晰，情绪底色是冷静与坚定，带有分析性和洞察力，体现武学高手的沉稳。
f42b2746e63c7eff,王道明,16300,male,elderly,平阳堡堡主,固执 | 传统 | 护短,118,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林前辈，声音苍老浑厚，语速较慢，语气威严，自称“老夫”，带有长辈的训诫感和对家业的无奈。
1404c39f1362436c,慕艾,19955,male,elderly,慕家兵法教授,温和 | 儒雅 | 谦和,114,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林长者，声音温厚而略带苍老，语速从容，咬字清晰稳重，情绪平和慈祥，带有儒雅与智慧。
65a29b922864bf83,道妙,5013,male,elderly,武当长老,精打细算 | 亲切,113,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年武当长老，性别不明，声音温厚，略带沧桑，语速适中，咬字清晰，语气平和亲切，常带感叹，有长者的宽厚与关怀感。
5831f87c3cdb88bf,花美人,12801,female,young_adult,unknown,害羞 | 感恩 | 善良,112,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性武侠，声音音高较高，语速中等，音色清亮，咬字清晰，情绪底色害羞，带有感激之情。
902b2cc6d9da4947,元风,5031,male,young_adult,武当二师兄,稳重 | 负责 | 细心,110,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性武当弟子，声音沉稳温厚，语速适中，措辞得体，咬字清晰稳重，情绪平和可靠，带有师兄的稳重感。
ba6974a29c297146,道玄,5014,male,elderly,武当长老,专注 | 淡泊,110,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年武当长老，性别不明，声音沉稳，略带沙哑，语速缓慢，咬字清晰，语气淡然，对世事漠不关心，但谈及炼丹时或有兴致。
9bdca1ccb28c1f66,迦摩,16015,male,middle_aged,天竺僧人,虔诚 | 平静,109,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性僧人，声音低沉圆润，语速慢，语气平和，咬字清晰，情绪平静而虔诚，带有梵音感。
e8939d80853fc3d0,孔亮,10269,male,adult,前草寇,豪爽 | 改过自新,108,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性，声音低音，音色粗犷，语速中等，能量高，语气豪爽直爽，咬字有力，带有江湖气。
d86f622c732087c2,道通,5011 | 5030,male,elderly,武当长老,协助掌门 | 友善,108,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年武当长老，性别不明，声音温厚，语速适中，咬字清晰，情绪平和，带有亲切和鼓励感。
97c411d0e7ebc02c,黄宗政,19103,male,adult,峋谷关主将,沉稳 | 睿智 | 有责任感,107,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性主将，声音浑厚，音调较低，语速中等，力度适中，咬字清晰，情绪底色为沉稳而关切，体现其睿智和责任感。
ed628b76bd7b97d5,伏龙子,9506,male,elderly,恶人谷高手,冷酷 | 执着 | 强大,106,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林高手，声音低沉苍老，带沙哑感，语速缓慢，力度中等，咬字清晰，情绪底色是冷酷执着，说话充满杀意和决绝，透出强大的压迫感。
91ca1ab5ad416d9f,三和,12604,male,middle_aged,霹雳门副掌,稳重 | 忧虑 | 有责任感,105,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性副掌，声音沉稳，语速中等，咬字清晰，情绪忧虑而克制，措辞正式，有责任感。
a3b6690e5d4e2595,主簿-陈修,19111,male,middle_aged,行军主簿,文雅 | 忧心,103,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性主簿，声音清朗，语速适中，措辞文雅，语气中带着对军务的忧虑。
a9ac924c7c59fcc2,洪飞,17112,male,elderly,丐帮长老,豪迈 | 豁达 | 自嘲 | 愧疚,103,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性丐帮长老，声音苍老沙哑，音调低，语速中等，说话豪放不羁，带有自嘲和沧桑感，情绪复杂。
3cdbdcd441805e15,龙桑杰,8505 | 45595,male,middle_aged,五毒教头目,狂傲 | 阴险 | 野心勃勃,103,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性五毒教头目，声音低沉而带磁性，语速中等，语气傲慢，说话时带着冷笑或大笑，措辞尖锐，充满野心和阴冷感。
25a5adb0a44b834e,叶银瓶,19951,female,young_adult,叶鹏举之女,向往自由 | 活泼 | 谨慎,101,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清脆明亮，语速轻快，咬字清晰活泼，情绪欢快好奇，带有少女的灵动与俏皮。
158aeef589daf68d,王天聪,16301,male,adult,平阳堡长子,豪爽 | 直率 | 重情义,95,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性武林人士，声音洪亮，语速较快，语气爽朗豪迈，带有江湖侠气和重情义的特点。
ad6f62beedd1c8f2,江小彤,10017 | 10011,female,child,村民,天真 | 活泼 | 烂漫,94,ready,,确定人物设定：儿童女性角色，声线必须保持这一年龄与性别呈现。一位小女孩，声音清脆稚嫩，语速快，说话欢快活泼，带童真和无忧无虑的感觉。
49a2905d40b2a7ee,雅姑,19761,female,elderly,unknown,深情 | 哀伤 | 感恩,94,ready,,确定人物设定：老年女性角色，声线必须保持这一年龄与性别呈现。一位老年女性，音高较低，音色苍老而柔和，语速缓慢，力度轻柔，咬字清晰，情绪底色哀伤，带有深情的怀念感。
00679cae5693966b,方阔海,17107 | 19007 | 9002 | 17108,male,middle_aged,玄火教玄阴护法,忠心 | 好胜 | 易怒,92,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武林护法，声音粗犷有力，音调中等，语速中等偏快，说话时带着挑衅和不甘的情绪，咬字清晰，气势十足。
89ee1d4a1bcff415,上官雨,19747,male,adult,江湖人士,怀旧,90,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年江湖人士，声音普通，语速中等，语气感慨，体现其怀旧情绪。
08fa2fc6366bf4ad,慕海棠,11700,female,middle_aged,青木画舫舫主,清丽 | 妩媚 | 沉稳,90,ready,,确定人物设定：中年女性角色，声线必须保持这一年龄与性别呈现。一位中年女性舫主，声音柔美，语速中等，咬字清晰，带有清丽妩媚感，性别呈现女性，年龄感中年。
b0e50580452f3551,圆难,5514 | 5502,male,elderly,少林寺罗汉堂首座,沉稳 | 慈悲 | 睿智,89,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性高僧，声音低沉浑厚，语速缓慢，咬字清晰，语气平和慈悲，带有长者的宽厚与智慧，常以阿弥陀佛开头，体现少林高僧的庄严与慈悲。
db12f8dd7471e532,红衣少女,10103 | 10116,female,young_adult,玄火教弟子,神秘 | 自信 | 强势,89,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清亮甜美，语速中等，语气自信强势，带点傲气，透出神秘和武艺高强的感觉。
ff11d22a5ad90acd,总镖头李泰,11100,male,middle_aged,威远镖局总镖头,仗义 | 老练 | 谨慎,88,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性，声音浑厚，语速中等，咬字清晰稳重，情绪底色是沉稳老练，带有江湖人的仗义与谨慎。
44e803d7264fe365,玉华道长,5039,male,middle_aged,武当道长,强势 | 果断 | 有主见,87,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性，约四十至五十岁，声音洪亮而有力，音调中等，语速较快，说话强硬直接，情绪严厉而坚定，符合武当道长的身份。
9cd3251fd2b780c0,元鸣,5024,male,adult,武当弟子,有天赋 | 骄傲,85,ready,,确定人物设定：成年男性角色，声线必须保持这一年龄与性别呈现。一位成年武当弟子，性别不明，声音清朗，语速适中，咬字清晰，语气带傲气，有天赋的骄傲感。
4210d24ef80f1adb,杨六图,12506,male,middle_aged,苍岚村狄人首领,谦逊 | 有礼 | 务实,84,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性狄人首领，声音沉稳厚实，语速中等，咬字清晰但略带口音，情绪平和诚恳，有领导者的气度与对族人的温情。
b84c1b4c703af3f5,李清浊,19898,male,young_adult,蓬莱门人,钻研奇技 | 重情义,83,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位中性的江湖人士，声音清朗，带有书卷气，语速中等，咬字清晰，情绪热忱而专注，提及师门时带有敬重与执着。
6eada33723805198,王钧,10201,male,middle_aged,居民,好赌 | 有些窝囊 | 对妻子有愧疚,83,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性居民，声音略带沙哑，有些虚浮无力。语速中等，语气讨好，常带低声下气之感，情绪底色愧疚不安，咬字清晰但不够有力。
b33d8e2e3c8798ec,段履霜,19703,male,young_adult,长生殿生印令君,诚实稳重 | 严于律己,80,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位武林人士，声音沉稳，音调中等，语速适中，能量中等，咬字清晰稳重，情绪平和恭敬，带有正直可靠的气质。
66c4a4f02d4dd478,斩无刑,6505 | 17104 | 16018,male,young_adult,六扇门四大神捕之一,冷酷 | 寡言,78,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。性别不明，声音清冷，语速较快，咬字干脆利落，情绪底色冷漠而凌厉，体现神捕的冷酷与寡言。
0c7296c2712906ca,杜彪,17000 | 9502,male,middle_aged,江湖人士,嚣张 | 粗鲁 | 好斗,77,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性江湖人士，声音低沉粗犷，语速中等但充满攻击性，咬字用力，常带挑衅和威胁的语气，情绪底色是傲慢和凶狠。
9f04bd331c9332ed,程万清,16001,male,middle_aged,天水城程家堡二当家,武功名望不及兄长,77,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性武林人士，声音中等音高，语速适中，语气中带着一丝自傲和主人家的派头，咬字清晰。
de0c6fe42f044bf5,苦老,9004,male,elderly,玄火教长老,忠诚 | 坚定 | 老练,76,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林长老，声音低沉苍老，语速缓慢，语气沉稳坚定，咬字清晰，带有宗教般的虔诚和忠诚。
e54e0a50533e2b0d,褚无救,19705,male,elderly,长生殿病印令君,偏激 | 好辩,75,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位武林人士，声音略带阴沉，音调中等，语速适中，能量中等，咬字清晰，情绪偏激而专注，带有医者的深沉与执着。
976e2b262f7caf07,乌天瘤,16017,male,middle_aged,丐帮掌棒龙头,刚正不阿 | 严厉 | 豪爽,74,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性丐帮龙头，声音浑厚有力，语速适中，语气豪迈，咬字清晰，情绪豪爽而威严。
9cc9ff939aaaaba2,赫连辅弼,19821,male,elderly,将领,沉稳 | 果断 | 威严,74,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性将领，音高中等，音色浑厚有力，语速适中，力度中等，咬字清晰果断，情绪底色沉稳威严，带有将领的果断和威严感。
